246 Henrique Cardoso               25 Boxe                     
070 Rafael Golias                  31 Boxe                     
109 Gabriel Alves                  27 Basquete                 
132 Laura Bragato                  35 Boxe                     
333 Benjamim Amaral                21 Basquete                 
172 Fernanda Nunes                 32 Handebol                 
218 Rodrigo Martinss               36 Judo                     
234 Bruna Couto                    24 Futebol                  
181 Bruno Martinss                 39 Remo                     
096 Julia Couto                    23 Ciclismo Estrada         
178 Joao Dias                      35 Tiro com Arco            
089 Fernanda Cunha                 17 Skate Street             
098 Vitoria Fred                   31 Ginastica Trampolim      
014 Valentina Santos               18 Tenis                    
149 Gabriel Ribeiro                31 Basebol                  
224 Luana Teixeira                 29 Basquete                 
262 Joao Pedroso                   37 Surfe                    
268 Luana Bastos                   36 Luta Livre               
345 Larissa Golias                 24 Escalada                 
319 Livia Golias                   19 Volei de Praia           
290 Gustavo Borges                 25 Basebol                  
183 Arthur Costa                   29 Vela                     
318 Bruna Moreira                  16 Basebol                  
020 Amanda Nunes                   17 Hoquei                   
101 Joao Goncalves                 21 Natacao Artistica        
185 Arthur Machado                 22 Pentatlo Moderno         
104 Heitor Bragato                 38 Golfe                    
052 Leonardo Gelmini               26 Canoagem Velocidade      
115 Thiago Moreira                 29 Tenis de Mesa            
251 Heitor Garcia                  38 Ciclismo Mountain bike   
311 Vinicius Lima                  36 Vela                     
358 Yasmin Nunes                   33 Basquete                 
151 Ana Matiello                   33 Judo                     
162 Rafael Almeida                 27 Ciclismo BMX             
286 Lucas Campos                   27 Volei de Quadra          
085 Gabriel Fernandes              28 Esgrima                  
330 Lara Ferreira                  22 Skate Park               
118 Manuela Moura                  39 Basquete                 
016 Maria Eduarda Teixeira         17 Luta Livre               
385 Noah Godoi                     22 Surfe                    
269 Ana Fred                       32 Saltos Ornamentais       
226 Amanda Campos                  29 Vela                     
121 Gustavo Nunes                  27 Surfe                    
291 Henrique Carvalho              23 Natacao                  
263 Gabriel Mota                   39 Badminton                
253 Camila Rocha                   36 Golfe                    
339 Bruno Mota                     34 Hoquei                   
267 Helena Barros                  17 Judo                     
073 Larissa Souza                  32 Taekwondo                
169 Amanda Castro                  36 Skate Street             
304 Thiago Garcia                  26 Hipismo                  
264 Rodrigo Freitas                17 Ginastica Ritmica        
247 Leticia Bragato                33 Ciclismo BMX             
105 Matheus Matiello               24 Remo                     
143 Rebeca Santana                 25 Handebol                 
077 Maria Moura                    17 Pentatlo Moderno         
152 Beatriz Mendes                 19 Ginastica Ritmica        
054 Helena Fernandes               28 Canoagem Slalom          
174 Cecilia Marques                27 Carate                   
208 Felipe Souza                   18 Ciclismo Estrada         
201 Sophia Reis                    21 Badminton                
388 Lucas Correia                  29 Ginastica Trampolim      
015 Enzo Campos                    21 Taekwondo                
250 Luana Lopes                    35 Tenis                    
126 Gustavo Gomes                  32 Golfe                    
207 Antonio Marques                21 Saltos Ornamentais       
321 Vitoria Marques                19 Ginastica Artistica      
348 Cecilia Carvalho               35 Luta Greco-romana        
225 Lorenzo Bastos                 32 Luta Greco-romana        
203 Davi Fred                      26 Ciclismo BMX             
044 Joao Amaral                    16 Basquetebol              
